ID,Duration_Worse,Severity_Worse,Both_Worse
10,0.7465564738292011,0.7272727272727273,0.5619834710743802
100,0.8393939393939394,0.7909090909090909,0.6727272727272727
104,0.7161885245901639,0.6280737704918032,0.48668032786885246
105,0.846875,0.81875,0.703125
106,0.7615062761506276,0.9246861924686193,0.702928870292887
109,0.8384879725085911,0.9347079037800687,0.8018327605956472
11,0.4972288202692003,0.7973079968329374,0.43151227236737927
110,0.8442906574394463,0.6851211072664359,0.6038062283737025
113,0.7269938650306749,0.7607361963190185,0.5797546012269938
115,0.6380510440835266,0.765661252900232,0.46635730858468677
117,0.8799076212471132,0.836027713625866,0.745958429561201
118,0.7203125,0.671875,0.5390625
119,0.8187311178247734,0.8580060422960725,0.7129909365558912
12,0.8841269841269841,0.819047619047619,0.7253968253968254
120,0.6804635761589404,0.9089403973509934,0.6357615894039735
121,0.6744186046511628,0.6821705426356589,0.4806201550387597
125,0.8106265277241734,0.6782452077704876,0.5798276083880097
126,0.1590909090909091,0.8409090909090909,0.09090909090909091
128,0.6608357628765792,0.6977648202137998,0.4577259475218659
132,0.6456953642384106,0.5960264900662252,0.4105960264900662
133,0.5537757437070938,0.931350114416476,0.505720823798627
138,0.8205953338696702,0.7860016090104586,0.670957361222848
139,0.7736318407960199,0.6368159203980099,0.5373134328358209
140,0.8591549295774648,0.6422535211267606,0.571830985915493
141,0.8575063613231552,0.6310432569974554,0.5419847328244275
143,0.7183770883054893,0.6073985680190931,0.45704057279236276
147,0.7412993039443155,0.8062645011600929,0.617169373549884
148,0.6578680203045685,0.6192893401015228,0.4355329949238579
149,0.8475120385232745,0.6067415730337079,0.5377207062600321
152,0.9291623578076526,0.47466390899689764,0.43950361944157185
156,0.8836206896551724,0.8728448275862069,0.7995689655172413
16,0.7520710950444344,0.7785811116131948,0.5975297484560927
161,0.5380577427821522,0.8110236220472441,0.44881889763779526
164,0.6440586001085187,0.5908844275637547,0.42973412913727616
166,0.7134502923976608,0.4064327485380117,0.3333333333333333
168,0.8012422360248447,0.8074534161490683,0.6801242236024845
169,0.766016713091922,0.6250696378830084,0.5331476323119777
171,0.735609756097561,0.3775609756097561,0.31414634146341464
172,0.6852444038373686,0.7592507994518045,0.5605299223389676
173,0.6526315789473685,0.6894736842105263,0.4934210526315789
180,0.7993827160493827,0.6018518518518519,0.49691358024691357
181,0.7154121863799283,0.8200716845878137,0.6057347670250897
182,0.7369758576874206,0.5667090216010165,0.47395171537484115
184,0.5494186046511628,0.5959302325581395,0.37209302325581395
186,0.5713197486193106,0.4848600266615883,0.40258998286040754
19,0.7545565006075334,0.7825030376670717,0.6294046172539489
190,0.6195488721804512,0.6473684210526316,0.46090225563909776
193,0.3402985074626866,0.34328358208955223,0.09850746268656717
194,0.6858006042296072,0.6465256797583081,0.459214501510574
195,0.5517412935323384,0.8512437810945274,0.5084577114427861
204,0.7428571428571429,0.6591362126245848,0.5196013289036545
214,0.8176229508196722,0.8592896174863388,0.7383879781420765
216,0.5816993464052288,0.5217864923747276,0.32461873638344224
22,0.5732466063348416,0.41035067873303166,0.30345022624434387
221,0.69140625,0.6940104166666666,0.53125
222,0.7250437828371279,0.8318739054290718,0.6514886164623468
225,0.8534875569575885,0.7974062390466176,0.6898002103049422
226,0.8357771260997068,0.8831867057673509,0.7512218963831867
227,0.3074596774193548,0.7973790322580645,0.24899193548387097
23,0.8355437665782494,0.493368700265252,0.4323607427055703
230,0.6609880749574105,0.8091993185689949,0.5485519591141397
231,0.6830122591943958,0.723292469352014,0.542031523642732
233,0.5024232633279483,0.7544426494345718,0.41195476575121165
24,0.4468937875751503,0.38276553106212424,0.22645290581162325
26,0.8232189973614775,0.8839050131926122,0.741424802110818
27,0.8078703703703703,0.7824074074074074,0.625
28,0.7772727272727272,0.7833333333333333,0.6196969696969697
29,0.6677631578947368,0.7960526315789473,0.5460526315789473
32,0.8068535825545171,0.8021806853582555,0.6666666666666666
38,0.7102991516594731,0.659026640869177,0.5241107307635064
41,0.8116805721096544,0.7389749702026222,0.6162097735399285
42,0.6107554417413572,0.6344430217669654,0.3380281690140845
