1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.0,0.0455937824358877,0.04334067491962229,0.0,0.0,0.0,0.0,0.0455937824358877,0.04901141743247006,0.0,0.0,0.04782157413736361,0.0,0.0,0.0,0.0,0.0,0.0,0.03599908863066758,0.03566998303840409,0.03949267107161844,0.0,0.036834510518721046,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04796426583705564,0.0,0.0,0.0,0.03517760050233328,0.03272301742468568,0.03259457993806459,0.03646197536854423,0.0,0.0,0.04993364063191243,0.0508327030382601,0.05213134873631784,0.0,0.0,0.04736489089949053,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015650187868543244,0.0,0.0,0.0,0.05973827968458574,0.06365233321582134,0.06339621731885826,0.05473950000150656,0.0,0.0,0.0,0.04692947170823277,0.04731816524597672,0.0,0.0,0.06923867289781578,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03414239482200647,0.0,0.0,0.08495145631067962,0.02168284789644013,0.02605177993527508,0.0,0.0284789644012945,0.0,0.0,0.022006472491909384,0.03640776699029126,0.040129449838187704,0.02168284789644013,0.0,0.031877022653721686,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.041400010174492546,0.0,0.05074019433280765,0.0,0.056336165233758964,0.031998779060894336,0.050902986213562595,0.04421834461006258,0.035132522765427075,0.03166302080683726,0.0,0.0,0.046853538179783286,0.0277051432059826,0.02859032405758763,0.037238642722694205,0.03180546370249784,0.028987129266927814,0.0,0.0
0.0,0.0,0.0,0.019943019943019943,0.0,0.03287310979618672,0.0,0.0,0.0,0.0030681569143107606,0.0,0.029147490685952224,0.02805172035941267,0.0,0.05106289721674337,0.0,0.0,0.04185842647381109,0.04120096427788735,0.04120096427788735,0.05654174884944116,0.0,0.09533201840894148,0.0,0.0
0.0,0.0,0.0,0.02722047829185812,0.0,0.0,0.0,0.030602186737030464,0.0,0.0,0.0,0.0,0.0,0.0,0.03333181687214716,0.0,0.0,0.0,0.029191877833886843,0.029889449979527773,0.0508317789606175,0.04883005019486526,0.04508439106501069,0.0,0.0
0.0,0.0,0.0,0.05819477434679335,0.04128824926645242,0.0,0.0642727399748498,0.06385356993153556,0.0,0.0,0.0,0.047086768198966046,0.0,0.02005030040519771,0.0,0.0,0.0,0.01739555679754087,0.0,0.023683107447254437,0.032345955009082016,0.02591868101159704,0.026966606119882632,0.0,0.0299007964230823
0.053936899862825786,0.0,0.0,0.0,0.0,0.0,0.0,0.04625514403292181,0.0,0.0,0.0,0.02962962962962963,0.02853223593964335,0.029355281207133058,0.030617283950617285,0.034074074074074076,0.0,0.04230452674897119,0.03484224965706447,0.03506172839506173,0.03478737997256516,0.0,0.03851851851851852,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04281263308900993,0.0,0.0,0.0,0.027951493959159888,0.025978974738304978,0.0,0.039271064487929525,0.0,0.0,0.041086678770761886,0.037791675072288346,0.03765718512541188,0.04285746307130209,0.0,0.04624212673435994,0.0,0.0
0.0,0.0,0.0,0.0,0.007937883462165066,0.0,0.0,0.0,0.0,0.0,0.0,0.04052133522825748,0.05809560123401158,0.0690145239003085,0.05854622343928732,0.0,0.0,0.0,0.05123227841519637,0.05109362542895768,0.07542722451384797,0.0,0.09483864258726472,0.08357308745537106,0.07452598010329647
0.0,0.0,0.0,0.0,0.1072202768050692,0.0,0.0,0.04268801067200267,0.0,0.0,0.08587627146906787,0.01934300483575121,0.0,0.018342504585626147,0.0240120060030015,0.0,0.0,0.025679506419876603,0.02451225612806403,0.02367850591962648,0.024679006169751543,0.0,0.02367850591962648,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04741103509376384,0.0,0.052185362012108084,0.028522911847221537,0.032226706698823646,0.0306885859132746,0.029851848205935914,0.03333415366441896,0.0,0.0,0.04351036078161146,0.03567209725845351,0.03792390608849732,0.04359649554560221,0.0,0.04181227543436531,0.0,0.0
0.0,0.0,0.0,0.032309777460396115,0.0,0.0,0.0,0.03366512671786875,0.0,0.0,0.0,0.05141582989638136,0.0,0.045659238964105106,0.0,0.0,0.03880962443709285,0.0,0.030998149146712915,0.0,0.05175102379876707,0.0,0.0,0.0,0.0
0.0,0.005201560468140442,0.0,0.027958387516254877,0.0,0.0,0.0,0.01527958387516255,0.0,0.006176853055916775,0.0,0.021131339401820545,0.0,0.0,0.0,0.0,0.0,0.0,0.03933680104031209,0.04031209362808843,0.05364109232769831,0.09102730819245773,0.08517555266579974,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
