CID,CityID,Lon,Lat
1,3,115.7699966,33.8367004
1,5,116.2040024,33.5057983
1,9,116.8030014,33.9678001
1,11,116.9850006,33.6441002
1,13,116.961998,34.1916008
1,19,117.5579987,33.5541992
1,34,116.3949966,39.9356995
1,35,116.810997,40.1169014
1,36,117.1490021,40.1487999
1,53,103.7630005,36.0844994
1,54,105.8379974,34.5577011
1,90,113.7040024,36.5870018
1,91,114.4960022,38.0640984
1,92,114.4089966,36.764801
1,93,114.9219971,40.7137985
1,94,114.9680023,38.5265007
1,95,115.0559998,38.0433998
1,96,115.2089996,37.9466019
1,97,115.4690018,38.8796997
1,98,115.5530014,40.3972015
1,99,115.5220032,38.2216988
1,100,115.5599976,37.5447998
1,101,115.5479965,38.4877014
1,102,115.737999,39.0068016
1,103,115.6419983,37.0560989
1,104,115.6839981,37.7411003
1,105,115.7669983,38.2462006
1,106,115.8000031,39.3927994
1,107,116.1169968,38.5840988
1,108,116.1480026,38.1379013
1,109,116.2900009,39.4385986
1,110,116.3730011,39.1209984
1,111,116.4509964,38.3647003
1,112,116.5810013,38.0709
1,113,116.4440002,38.2612
1,114,116.5139999,39.3408012
1,115,116.7089996,39.5327988
1,116,116.5599976,38.5583
1,117,116.4830017,38.9506989
1,118,116.7220001,39.1116982
1,119,116.776001,38.5628014
1,120,116.8899994,38.3110008
1,121,117.0009995,39.7411995
1,122,116.9309998,39.9364014
1,123,117.1829987,38.0826988
1,124,117.3310013,38.4071999
1,125,117.7279968,39.8726006
1,126,117.9779968,40.1820984
1,127,118.2949982,39.6903
1,128,118.5759964,39.9341011
1,129,118.5619965,40.0969009
1,130,118.7249985,40.0042
1,131,119.1679993,39.7047005
1,132,119.5839996,39.9370003
1,149,111.822998,34.7537003
1,151,112.4599991,34.6528015
1,153,112.75,34.7221985
1,154,112.6009979,35.1142998
1,155,112.8379974,34.1492996
1,156,112.9580002,33.8354988
1,157,112.9990005,34.7266998
1,158,113.1029968,34.4347
1,159,113.1640015,35.2159996
1,160,113.4199982,35.0895004
1,161,113.4749985,34.1451988
1,163,113.3339996,33.7770996
1,164,113.6809998,34.6893997
1,165,113.7630005,34.1439018
1,166,113.8899994,35.3602982
1,167,113.8300018,36.0960007
1,169,114.0439987,33.5779991
1,173,114.2829971,36.1108017
1,174,114.2529984,35.6982994
1,176,114.362999,35.9197006
1,177,114.2929993,34.7937012
1,178,114.5299988,35.5573006
1,179,114.6760025,35.1655006
1,180,114.6490021,33.6091003
1,181,114.8949966,33.446701
1,182,115.0270004,35.7535019
1,184,115.6719971,34.4090004
1,185,116.4300003,33.9276009
1,231,116.6060028,34.7011986
1,232,116.9169998,34.7532997
1,233,117.2070007,34.2672997
1,234,117.4300003,34.4217987
1,235,117.9489975,33.9043999
1,236,117.9869995,34.3384018
1,237,118.2630005,33.9348984
1,238,118.3259964,34.3622017
1,239,118.7089996,33.7126007
1,241,118.8010025,34.1142006
1,248,119.1669998,34.9189987
1,249,119.2470016,34.6339989
1,298,120.4260025,41.5722008
1,299,120.8270035,40.7116013
1,300,121.211998,38.8241997
1,301,121.1780014,41.115799
1,302,121.5650024,39.823101
1,303,121.7139969,39.2188988
1,305,121.9850006,39.634201
1,307,122.0039978,41.2165985
1,308,121.9380035,39.3792992
1,309,122.0690002,41.1077003
1,310,122.137001,40.2289009
1,311,122.2480011,40.6691017
1,312,122.5039978,40.6357994
1,315,122.947998,39.6929016
1,323,106.2590027,36.0085983
1,330,107.2409973,34.3563995
1,331,108.9089966,34.3022995
1,333,109.4690018,34.5040016
1,334,109.5059967,36.6257019
1,336,110.4700012,38.8941002
1,337,115.1070023,35.3129997
1,338,115.4710007,36.4859009
1,339,115.5339966,35.5574989
1,340,115.526001,36.1749001
1,341,115.487999,35.2490997
1,342,115.5500031,34.8431015
1,343,115.6119995,36.3466988
1,344,115.6620026,36.2328987
1,345,115.7279968,36.8349991
1,346,115.9489975,36.4350014
1,347,115.9430008,35.5867004
1,348,116.1139984,35.7523003
1,349,116.0930023,34.7891006
1,350,116.2310028,36.5929985
1,351,116.2269974,36.8611984
1,352,116.3450012,37.4510002
1,353,116.2990036,35.0685997
1,354,116.3479996,35.3586006
1,355,116.4919968,37.259201
1,356,116.6050034,35.4087982
1,357,116.6579971,36.9356995
1,358,116.8089981,35.549099
1,359,116.7429962,36.2002983
1,360,116.8399963,37.1892014
1,361,117.0940018,36.1540985
1,362,116.9560013,35.3984985
1,363,116.9860001,35.5779991
1,364,117.1520004,36.9790993
1,365,117.1610031,35.0741005
1,366,117.1819992,37.7176018
1,367,117.2949982,34.8068008
1,368,117.0820007,36.6623993
1,369,117.3840027,37.7821999
1,370,117.5780029,34.8137016
1,371,117.6490021,36.2220993
1,372,117.6340027,35.5032005
1,373,117.723999,35.8841019
1,374,117.7809982,36.8521004
1,375,118.2460022,35.0415001
1,376,117.9869995,37.3998985
1,377,118.0820007,36.7797012
1,378,118.1669998,37.1594009
1,379,118.4079971,37.0545998
1,380,118.4800034,35.5376015
1,381,118.8170013,36.793499
1,382,118.5429993,36.4962997
1,383,118.6200027,34.9169998
1,384,118.5820007,37.4813995
1,386,118.6190033,35.7762985
1,387,118.814003,35.1829987
1,388,118.8310013,35.5890999
1,389,119.197998,36.4598999
1,390,119.322998,35.1568985
1,391,119.4029999,36.0144005
1,392,119.4820023,35.4104996
1,393,119.776001,36.3914986
1,394,119.9029999,37.0959015
1,395,119.9629974,36.7713013
1,396,120.0780029,35.9396019
1,397,120.4039993,37.3916016
1,398,120.3280029,37.6380997
1,399,120.4960022,37.6297989
1,400,120.5230026,36.8633995
1,401,120.3259964,36.2694016
1,402,120.6910019,36.9618988
1,403,120.7979965,37.7942009
1,404,121.3519974,37.4970016
1,405,121.177002,36.7631989
1,406,121.5839996,36.882
1,407,122.1050034,37.4473991
1,408,122.0699997,37.2392998
1,409,122.2730026,36.8792992
1,410,122.4459991,37.1478004
1,413,110.6989975,35.6506004
1,414,111.0029984,35.0630989
1,415,111.1439972,37.5047989
1,416,111.5080032,36.0805016
1,417,111.8000031,37.1161003
1,418,112.0490036,37.4534988
1,419,112.2009964,37.5615997
1,420,112.7180023,38.4360008
1,421,112.6050034,37.8125
1,422,112.8539963,35.510601
1,423,113.0589981,36.5046005
1,424,113.0820007,36.344101
1,425,113.1039963,36.1898003
1,427,113.5849991,37.8671989
1,441,116.9550018,38.9417
1,442,117.2829971,39.1078987
1,443,117.2990036,39.7293015
1,444,117.2740021,40.0276985
1,445,117.3170013,38.6357002
1,446,117.4020004,39.9973984
1,447,117.473999,38.703701
1,448,117.7720032,39.2349014
2,51,98.2738037,39.7961006
2,52,98.4919968,39.7237015
2,220,105.6940002,38.8373985
2,450,76.0105972,39.4576988
2,451,79.9313965,37.1186981
2,452,80.2686005,41.1842003
2,453,81.3326035,43.9319
2,454,83.0066986,41.717701
2,455,84.7210999,44.4283981
2,456,84.8720016,44.3857002
2,457,84.9604034,45.592701
2,458,86.0607986,44.3140984
2,459,86.1589966,41.7388
2,460,87.4860001,43.8857994
2,461,87.8164978,44.1372986
2,462,93.5030975,42.8479996
3,1,115.3720016,33.2536011
3,2,115.6119995,33.1789017
3,4,115.8239975,32.8922997
3,6,116.2679977,32.6455002
3,7,116.5550003,33.2468987
3,8,116.5179977,31.7618008
3,10,117.0650024,30.5534992
3,12,116.9459991,31.4554005
3,14,117.1460037,32.4659004
3,15,116.9690018,32.6417007
3,16,117.2679977,31.8423004
3,17,117.3560028,32.9412994
3,18,117.2779999,31.2518005
3,20,117.4980011,33.2164001
3,21,117.8079987,30.9482002
3,22,117.8860016,33.4846001
3,23,117.8779984,31.6161003
3,24,117.9990005,32.7883987
3,25,118.2139969,31.2392998
3,26,118.2890015,29.7332001
3,27,118.2850037,31.3966999
3,28,118.3619995,31.698
3,29,118.3550034,32.3305016
3,30,118.4589996,31.5088997
3,31,118.598999,31.1536999
3,32,118.6299973,32.3935013
3,33,119.0189972,32.6688995
3,37,105.9189987,29.3400993
3,38,106.3290024,29.530899
3,39,106.5329971,29.5818996
3,40,106.7689972,29.6651993
3,42,117.3560028,25.9778996
3,46,119.3040009,26.0650005
3,47,119.2040024,26.0235004
3,50,119.5459976,25.9239006
3,62,110.1760025,25.2418003
3,64,110.3030014,25.2922001
3,66,111.5309982,24.4319992
3,67,104.9100037,25.1019001
3,68,106.6490021,26.5746994
3,69,106.9240036,27.6658001
3,70,107.9560013,26.5606003
3,81,113.5759964,24.7672997
3,150,112.1999969,33.0475998
3,152,112.5510025,33.0181999
3,162,113.5029984,33.3074989
3,168,114.0110016,32.8120003
3,170,114.0289993,32.9894981
3,171,114,32.4704018
3,172,114.1100006,32.1292
3,175,114.2490005,33.2770004
3,183,115.6549988,32.1769981
3,186,110.8059998,32.6235008
3,187,111.3399963,30.7035999
3,188,112.163002,32.0971985
3,189,112.2789993,30.3239002
3,190,112.2060013,31.0037994
3,191,112.7529984,32.1184998
3,192,112.8889999,30.4109993
3,193,112.9140015,29.8362999
3,194,113.3820038,31.7287006
3,195,113.4410019,30.3626995
3,196,113.9489975,30.9235992
3,197,113.8850021,30.6599998
3,198,114.163002,30.5725002
3,199,114.2730026,30.7523003
3,200,114.3119965,29.8670998
3,201,114.4189987,30.5042
3,202,114.5319977,30.7017002
3,203,114.8789978,30.3766003
3,204,114.9000015,30.4687004
3,205,114.9899979,31.1672993
3,206,115.0090027,30.1707001
3,207,109.9759979,27.5270996
3,208,111.4789963,27.2502995
3,209,111.5979996,26.4423008
3,210,111.6910019,29.0139999
3,211,111.9940033,27.7355003
3,212,112.3580017,28.5725002
3,213,112.6080017,26.8952999
3,214,112.8499985,26.4204006
3,215,112.987999,28.2028008
3,216,112.9420013,27.8754005
3,217,113.0169983,25.7765999
3,218,113.1139984,27.8481007
3,219,113.1490021,29.3724003
3,240,118.7200012,32.1850014
3,242,119.0019989,31.6856995
3,243,119.0709991,33.5766983
3,244,118.9160004,31.3558998
3,245,119.1190033,31.9871998
3,246,118.8190002,32.0004997
3,247,119.1729965,32.2765999
3,250,119.3280029,33.2434006
3,251,119.5739975,32.138401
3,252,119.4150009,32.3787994
3,253,119.4550018,32.7891006
3,254,119.4680023,31.4244003
3,255,119.5790024,32.0022011
3,256,119.572998,32.4263
3,257,119.6080017,31.7483006
3,258,119.7990036,31.4111004
3,259,119.8130035,32.2321014
3,260,119.7900009,33.4686012
3,261,119.8389969,31.2677002
3,262,119.8880005,32.3007011
3,263,119.8470001,32.9234009
3,264,119.9110031,32.473999
3,265,120.0270004,32.1749992
3,266,120.1269989,32.5023003
3,267,120.1460037,33.3637009
3,268,120.4530029,33.2042007
3,269,120.4700012,32.5289993
3,270,120.487999,31.6147003
3,271,120.5550003,32.3951988
3,272,120.3389969,32.030201
3,273,120.625,30.9158993
3,274,120.973999,31.9923992
