ID,Lon,Lat,DW_D_UE,WD_D_UE,DW_S_UE,WD_S_UE
1,115.3720016,33.2536011,-0.008586466,-0.011158594,0.008678532,0.015499605
2,115.6119995,33.1789017,0.000771605,-0.011904762,0.00047035,-0.004898404
3,115.7699966,33.8367004,0,-0.001136364,-0.009990763,-0.036403434
4,115.8239975,32.8922997,0.008513932,-0.009283626,0.000934489,0.018139532
5,116.2040024,33.5057983,-0.007264957,-0.004707792,-0.0406524,-0.001298964
6,116.2679977,32.6455002,0.005952381,-0.00617284,0.016654209,0.033321757
7,116.5550003,33.2468987,0.003974563,0,-0.01751008,-0.005706168
8,116.5179977,31.7618008,-0.006912442,-0.005435759,0.027428441,0.035057745
9,116.8030014,33.9678001,0.008262108,0.00297619,0.065092266,-0.011029344
10,117.0650024,30.5534992,0.001867414,0.009920635,-0.002779035,-0.06139192
11,116.9850006,33.6441002,0.003635621,-0.005952381,0.068868247,0.022205052
12,116.9459991,31.4554005,0.005201022,0.007017544,-0.017775443,-0.004026231
13,116.961998,34.1916008,0.000948509,-0.004604068,0.021297841,0.000972004
14,117.1460037,32.4659004,-0.040544872,-0.018665158,0.119663647,0.080641167
15,116.9690018,32.6417007,-0.029428904,-0.041666667,0.129758288,0.105223541
16,117.2679977,31.8423004,0.006889168,-0.015376984,0.001436992,-0.00455128
17,117.3560028,32.9412994,-0.054320988,-0.037012012,0.175714407,0.088082728
18,117.2779999,31.2518005,-0.034722222,-0.018211382,0.163084982,0.041133001
19,117.5579987,33.5541992,-0.008384615,-0.012337662,0.023706698,-0.009388049
20,117.4980011,33.2164001,0.014180374,0.002324263,0.02013946,0.005065509
21,117.8079987,30.9482002,-0.005789474,-0.006850176,0.049608561,0.023198491
22,117.8860016,33.4846001,-0.028508772,-0.021941489,0.105831348,0.096443212
23,117.8779984,31.6161003,-0.030688554,-0.01,0.084011849,0.046722563
24,117.9990005,32.7883987,-0.001587302,0.008719059,-0.019038219,-0.017398508
25,118.2139969,31.2392998,-0.030701754,-0.0287226,0.078149768,0.094926178
26,118.2890015,29.7332001,0.00233296,-0.002882206,-0.003115253,7.10E-05
27,118.2850037,31.3966999,-0.003174603,-0.019459025,-0.043173209,-0.006444926
28,118.3619995,31.698,-0.043518519,-0.018310658,0.065792679,0.098883758
29,118.3550034,32.3305016,0.002580342,-0.014093137,0.009937943,0.071287727
30,118.4589996,31.5088997,-0.012797619,-9.92E-05,0.035061009,-0.009974791
31,118.598999,31.1536999,-0.005434783,0.005948233,-0.019928217,0.03427209
32,118.6299973,32.3935013,0.009551887,-0.009259259,-0.023142449,0.018640403
33,119.0189972,32.6688995,0.003373016,-0.003333333,0.003970314,0.02962259
34,116.3949966,39.9356995,-0.004406365,-0.001234568,-0.062549719,-0.063159091
35,116.810997,40.1169014,-0.062626263,-0.041899805,0.056908403,0.092537785
